TotalCars,Size,State,Suburb,lat,lng,CarsPerSQKM
6670,10.5398,Victoria,Altona Meadows, 144.781096,-37.880677,632.8393328146644
1439,1274.0719,Tasmania,Dilston - Lilydale, 147.348265,-41.340578,1.1294496017061517
4546,66.5481,Victoria,Hillside, 144.698517,-37.687039,68.31149198850154
6,139.3336,New South Wales,Royal National Park, 151.074871,-34.106312,0.04306211854139992
2162,5.2803,Tasmania,Launceston, 147.143836,-41.434629,409.44643296782374
1434,7.464,Queensland,Darra - Sumner, 152.945772,-27.568020,192.12218649517683
0,2048.7748,Queensland,Eungella Hinterland, 148.478271,-20.912264,0.0
1649,2684.5631,Queensland,Southern Downs - West, 151.720431,-28.229449,0.6142526506454626
3499,6.051,New South Wales,Shellharbour - Oak Flats, 150.823483,-34.565070,578.2515286729466
1769,226.7697,Tasmania,Perth - Evandale, 147.263669,-41.583080,7.800865812319723
8562,6.7351,New South Wales,Manly - Fairlight, 151.287480,-33.797100,1271.2506124630665
6677,12.0595,Victoria,Lalor, 145.004730,-37.661503,553.6713794104234
897,4359.2244,Queensland,Rockhampton Region - West, 150.120368,-23.367569,0.20577054945829354
5605,7.4263,South Australia,Ingle Farm, 138.649477,-34.829790,754.7500100992419
7529,3.0033,New South Wales,Petersham - Stanmore, 151.161609,-33.896230,2506.9090666933043
892,1.4677,Northern Territory,Millner, 130.862760,-12.391678,607.7536281256388
2253,633.8622,South Australia,Barossa - Angaston, 139.041213,-34.645960,3.5544003097203145
1498,1634.4229,Queensland,Southern Downs - East, 152.236349,-28.226060,0.9165314558429155
3523,2.7733,New South Wales,Riverwood, 151.053664,-33.949213,1270.3277683626006
853,2746.4237,Western Australia,Murray, 116.313657,-32.754935,0.3105857264485447
5367,28.1238,Western Australia,Kalamunda - Maida Vale - Gooseberry Hill, 116.046798,-31.960743,190.83480895184863
2382,19.5337,Tasmania,Parklands - Camdale, 145.864170,-41.058266,121.94310345710234
4416,3.3909,New South Wales,Narwee - Beverly Hills, 151.077335,-33.949252,1302.3091214721755
1749,28626.1668,Western Australia,Kulin, 118.976368,-32.871859,0.061097946232885086
3128,67.7768,Victoria,White Hills - Ascot, 144.317571,-36.679340,46.1514854640526
5273,4.7162,New South Wales,Gladesville - Huntleys Point, 151.122766,-33.829460,1118.0611509265934
6434,711.0493,New South Wales,Maclean - Yamba - Iluka, 153.240283,-29.396244,9.048599021193045
2671,37.8459,New South Wales,Lennox Head - Skennars Head, 153.582850,-28.775199,70.5756766254733
1127,181.743,Victoria,Robinvale, 142.781452,-34.648135,6.2010641400218995
4045,33.0365,Victoria,California Gully - Eaglehawk, 144.257075,-36.707510,122.4403311488808
5911,8.0182,New South Wales,Adamstown - Kotara, 151.713259,-32.942241,737.1978748347509
2403,4.3856,Queensland,McDowall, 152.991783,-27.383472,547.9295877417001
5317,24.4986,New South Wales,Chittaway Bay - Tumbi Umbi, 151.432056,-33.354090,217.03281003812464
1137,1.8559,Australian Capital Territory,Charnwood, 149.033753,-35.200537,612.6407672827199
3600,6.161,Western Australia,Manning - Waterford, 115.871930,-32.018651,584.3207271546827
2353,8.5225,Queensland,Morayfield - East, 152.964655,-27.107557,276.09269580522147
3301,39.7772,New South Wales,Byron Bay, 153.602844,-28.695778,82.9872389207888
7434,16.637,Queensland,Dakabin - Kallangur, 152.991975,-27.238815,446.8353669531766
2723,16.103,Queensland,Bellbird Park - Brookwater, 152.888010,-27.649507,169.09892566602494
889,1.5224,Australian Capital Territory,Spence, 149.065484,-35.200338,583.9464004203888
4853,6.258,Queensland,Aspley, 153.016321,-27.365691,775.4873761585171
3673,9.404,Queensland,Wellington Point, 153.244114,-27.496515,390.57847724372607
1517,74.203,South Australia,Clare, 138.599652,-33.820136,20.44391736183173
2738,4.1624,Western Australia,Bull Creek, 115.862222,-32.055620,657.7935806265616
4130,198.3369,Victoria,Hamilton (Vic.), 142.014761,-37.741720,20.823154944944687
2615,27011.6794,New South Wales,Walgett - Lightning Ridge, 148.246718,-29.824216,0.09680997472522941
4919,4.2806,Queensland,Margate - Woody Point, 153.102840,-27.248924,1149.137971312433
3936,15.6077,New South Wales,Edgeworth - Cameron Park, 151.617904,-32.911937,252.18321725814823
5553,5.423,Victoria,Chelsea - Bonbeach, 145.124791,-38.055431,1023.9719712336345
3447,8.5593,Queensland,Burleigh Heads, 153.451605,-28.096148,402.7198485857488
5616,5.9563,South Australia,Henley Beach, 138.506876,-34.920667,942.8672162248376
1978,4.2749,Australian Capital Territory,Macgregor (ACT), 149.012153,-35.208877,462.7008818919741
5113,4.6915,New South Wales,Fairfield - West, 150.927586,-33.870241,1089.8433336885857
1020,517.0762,Western Australia,Dardanup, 115.854861,-33.418333,1.9726299527999935
1216,1.6106,Australian Capital Territory,Rivett, 149.036774,-35.347691,754.9981373401217
2125,8644.9956,South Australia,The Coorong, 139.697377,-35.705734,0.24580694986125845
1805,4613.7424,New South Wales,Tumut Region, 148.342550,-35.541538,0.3912225355277746
2230,88.2946,Victoria,Irymple, 142.194241,-34.232985,25.256357693448976
3007,3823.1904,Queensland,Maryborough Region - South, 152.454314,-25.689741,0.7865158899750324
5116,6.5871,New South Wales,Cambridge Park, 150.734534,-33.744857,776.6695510922864
